Description;P/N;S/N;"Actual
Days";"Actual
Hours8";"Actual
Landings";Position
PUMP LUBRICATION;3G6320V04252;0892;1483;836;1652;0
PUMP LUBRICATION;3G6320V04252;0896;1483;836;1652;0
MGB Upper Fitting;3G6330A00234;R192;1483;836;1658;0
MGB Upper Fitting;3G6330A00234;R194;1483;836;1658;0
MGB Upper Fitting;3G6330A00234;R195;1483;836;1658;0
MGB Upper Fitting;3G6330A00234;R196;1483;836;1658;0
MGB Antitorque Beam;3G6330A00532;R562;1483;841;1662;0
MGB FWD BRACKET ASSY;3G6330L00132;CC2147599-0030;1483;836;1652;0
MGB FWD BRACKET ASSY;3G6330L00132;CC2147599-0029;1483;836;1652;0
MGB REAR BRACKET ASSY;3G6330L00232;CC2146415-0003;1483;836;1652;0
MGB REAR BRACKET ASSY;3G6330L00232;CC2146415-0004;1483;836;1652;0
BOLT;3G6330L00351;PPB0002;1483;836;1652;0
BOLT;3G6330L00351;PPB0003;1483;836;1652;0
BOLT;3G6330L00351;PPB0001;1483;836;1652;0
BOLT;3G6330L00351;PPB0004;1483;836;1652;0
AFT ROD ASSY. LH;3G6330V00231;CC2149175-0009;1483;836;1652;0
AFT ROD ASSY. RH;3G6330V00231;CC2148428-0003;1483;836;1652;0
DISC;3G6351V00551;FR0543;1483;836;1652;0
ROTOR BRAKE CALIPER ASSY;3G6351V00651;FR0502;1483;836;1652;0
ROTOR BRAKE CONTROL LEVER;3G6352V01751;397;1483;836;1652;0
ROTOR BRAKE CONTROL MODULE ASSY;3G6352V01851;FR0418;1483;836;1652;0
ROTOR BRAKE RESERVOIR ASSY.;3G6352V01931;422;1483;836;1652;0
ROTOR BRAKE PRESSURE IND.;3G6352V02151;0589;1483;836;1652;0
ROTOR BRAKE ACTUATOR ASSY;3G6352V02451;884;0;836;1200;0
ROTOR BRAKE RELAIS BOX;3G6353V00252;S10664704;1483;836;1652;0
TAIL ROTOR BLADE ASSY;3G6410A00133;V3991;599;396;1227;0
TAIL ROTOR BLADE ASSY;3G6410A00133;V3999;599;396;1227;0
TAIL ROTOR BLADE ASSY;3G6410A00133;V3995;599;396;1227;0
TAIL ROTOR BLADE ASSY;3G6410A00133;V3987;599;396;1227;0
TAIL ROTOR ASSY.;3G6420A00133;R439;1483;836;1652;0
TAIL ROTOR HUB ASSY.;3G6420A00332;R439;1483;842;1652;0
ELASTOMERIC BEARING;3G6420V00153;LK0877;1483;836;1652;0
ELASTOMERIC BEARING;3G6420V00153;LK0930;1483;836;1652;0
ELASTOMERIC BEARING;3G6420V00153;LK0873;1483;836;1652;0
ELASTOMERIC BEARING;3G6420V00153;LK0919;1483;836;1652;0
LAG DAMPER;3G6420V00455;LK3030;289;267;1652;0
LAG DAMPER;3G6420V00455;LK2969;308;283;1652;0
LAG DAMPER;3G6420V00455;LK1198;674;650;1652;0
LAG DAMPER;3G6420V00455;LK3126;594;349;1652;0
PITCH LINK ASSY.;3G6430A00632;1750;1483;836;1652;0
PITCH LINK ASSY.;3G6430A00632;1719;1483;836;1652;0
PITCH LINK ASSY.;3G6430A00632;1718;1483;836;1652;0
PITCH LINK ASSY.;3G6430A00632;1716;1483;836;1652;0
COPILOT COLLECTIVE GRIP ASSY;3G6711V00552;S09659656;1483;836;1652;0
PILOT COLLECTIVE GRIP ASSY;3G6711V00652;S10783562;1483;836;1652;0
PILOT CYCLIC GRIP ASSY;3G6712V00257;S10677999;1483;836;1652;0
PILOT CYCLIC GRIP ASSY;3G6712V00257;S10678008;1483;836;1652;0
SERVOACTUATOR ASSY;3G6730V00531;HSC230287;531;343;1652;0
