503-24-6;ELT SYSTEM UNIT;;
503-40;CONFIG.UNIT;;
649.000.025;RADAR GUIDA D'ONDA;;
7001840-934;RADIO ALTIMETER;;
7011702-848;GUIDANCE CONTROLLER;;
7016683-866;DISPLAY CONTROLLER NVG;;
7016954-810;REMOTE INSTR. CONTROLLER NVG;;
7024440-1901;POWER SUPPLY IN MAU;;
7025410-1901;CSIO MODULE;;
7025725-945;MCDU NVG COMPATIBLE;;
7025725-941;MCDU NON NVG COMPATIBLE;;
7026201-801;VDR MODULE 1;;
7026202-803;MRC DIGITAL NAV MOD.;;
7026531-1902;VIDEO MODULE;;
7026534-1902;CIO MODULE;;
7026883-802;CCD NVG COMPATIBLE;;
7027110-904;CONTROL PANEL,AUTOPILOT NON NVG;;
7029194-1801;AIOP PM;;
7031629-1950;MAU RACK;;
7034055-1901;CMC PM;;
7034057-1904;DUAL NIC & PROCESSOR CCA;;
7037620-814;FLIGHT DISPLAY;;
715-40-10010;DF CONTROLLER;;
727-0912/30;5th DISPLAY;;
7510114-855;ADF MODULE MRC;;
7510184-855;DME MODULE MRC;;
7510300-901;ADF ANTENNA;;
7511900-99201;AUDIO CTRL PANEL NVG;;
7517400-887;MODO S XPNDR 2;34;
7517959-904;MRC EMPTY CABINET MRC;;
7517964-914;NIM MODULE;;
7519272-901;CONFIGURATION MODULE;;
8486-3;ACTUATOR,SMART LINEAR;;
8930-112B90H101;SMOKE DETECTOR;26;
8ES-455-070-00;EMERGENCY POWER SUPPLY;;
935-11;ANTENNA DF;34;
A01011;System Interface Unit Battery (Deployable ELT);31;
A072A02;PORTABLE FIRE EXTINGUISHER;26;
AA21-407;LOUDSPEAKER CONTROL PANEL;23;
CDP-250C;SATCOM SKY TRAC VIDEO PANEL;34;
D51615-142;MULTI-POURPOSE FLIGHT RECORDER;34;
D51616-102;COCKPIT CONTROL UNIT;;
DGSC20-02;COUPLER ANTENNA G.S.;34;
DK140;Beacon Battery (MPFDR system);31;
DMB20-20;COUPLER  M/B;34;
DMN48-1;ANTENNA VOR;34;
DMNI24;ANTENNA TRASPONDER;34;
DRC20-04;COUPLER ANTENNA VOR;;
DVI-250A;SATCOM SKY TRAC VOCAL INTERFACE;;
E37040D;MONITOR,HEAT,PITOT COPILOT;;
HCUED00002;FLIR ULTRAFORCE HAND GRIP;;
HG1153CA03;AIR DATA MODULE;;
IN10-10-80;SPECTROLAB HAND CONTROL UNIT;;
ISAT-100;SATCOM SKY TRAC ISAT 100;;
ISAT-ANT;SATCOM SKY TRAC ANTENNA;;
KO-7055-003;4-point patient restraint harness;;
KO7071-001;Leg Belts;;
MM7030191-008;OPERATIONAL SOFTWARE;;
NPX138N-900;RADIO NAT NPX TRANSMITTER;;
PA700-001;LOUDSPEAKER AMPLIFIER;;
3G2592V00731;PRESSURE CARTRIDGE ASSY;;
P-F20006;Pressure Vessel;;
PT6C-67C;ENGINE ASSY;71;
RGS10-48;ANTENNA GLIDE SLOPE;34;
RPC-651ER/3,0;UTILITY CAMERA;;
RPS-77E;POWER SUPPLY 28VDC+EMI FILTER;;
S67-1575-132;GPS ANTENNA;34;
S67-2002-4;ANTENNA R.A.;34;
TAC-0045/01;IFF TRANSPONDER;34;
TAD-0049/01;IFF CONTROL PANEL;34;
TB14H-24VDC;ETHERNET ADAPTER;34;
TS94-06DS;EXTERNAL LOUDSPEAKERS;23;
VF10-210;ANTENNA VHF 2;23;
VFS10-90-2;ANTENNA VHF 1;23;
